status_id,order_id,status,last_updated
201,101,Delivered,2024-06-05 15:30:00
202,102,Delivered,2024-06-06 12:00:00
203,103,Shipped,2024-06-04 10:00:00
204,104,Delivered,2024-06-08 18:45:00
205,105,,2024-06-07 09:00:00
206,106,Delivered,2024-06-10 14:30:00
207,107,Delivered,2024-06-11 11:15:00
208,108,Shipped,2024-06-09 16:00:00
209,109,Delivered,2024-06-13 17:45:00
210,110,,2024-06-11 13:00:00
211,111,Delivered,2024-06-15 12:30:00
212,112,Delivered,2024-06-16 09:30:00
213,113,Pending,2024-06-14 10:45:00
214,114,Delivered,2024-06-18 19:00:00
215,115,Delivered,2024-06-19 10:15:00
216,116,,2024-06-17 14:00:00
217,117,Shipped,2024-06-20 11:00:00
218,118,Pending,2024-06-19 08:00:00
219,119,Delivered,2024-06-23 16:45:00
220,120,Delivered,2024-06-24 15:30:00
221,121,Delivered,2024-06-25 13:00:00
222,122,,2024-06-26 10:15:00
223,123,Shipped,2024-06-27 14:30:00
224,124,Pending,2024-06-28 11:45:00
225,125,Delivered,2024-06-29 09:20:00
226,126,,2024-06-30 15:00:00
227,127,Shipped,2024-07-01 10:00:00
228,128,Pending,2024-07-02 12:30:00
229,129,Delivered,2024-07-03 17:10:00
230,130,,2024-07-04 13:25:00
